Visitor,PTS,Home,PTS,visitorWin,homeWin,visTotWL,homeTotWL,visvisWL,homehomeWL,visMatchupWL,homeMatchupWL
Boston Celtics,99,Cleveland Cavaliers,102,,,,,,,,
Houston Rockets,122,Golden State Warriors,121,,,,,,,,
Milwaukee Bucks,108,Boston Celtics,100,,,,,,,,
Atlanta Hawks,117,Dallas Mavericks,111,,,,,,,,
Charlotte Hornets,90,Detroit Pistons,102,,,,,,,,
Brooklyn Nets,131,Indiana Pacers,140,,,,,,,,
New Orleans Pelicans,91,Memphis Grizzlies,103,,,,,,,,
Miami Heat,109,Orlando Magic,116,,,,,,,,
Portland Trail Blazers,124,Phoenix Suns,76,,,,,,,,
Houston Rockets,105,Sacramento Kings,100,,,,,,,,
Minnesota Timberwolves,99,San Antonio Spurs,107,,,,,,,,
Denver Nuggets,96,Utah Jazz,106,,,,,,,,
Philadelphia 76ers,115,Washington Wizards,120,,,,,,,,
Los Angeles Clippers,108,Los Angeles Lakers,92,,,,,,,,
New York Knicks,84,Oklahoma City Thunder,105,,,,,,,,
Chicago Bulls,100,Toronto Raptors,117,,,,,,,,
Orlando Magic,121,Brooklyn Nets,126,,,,,,,,
Atlanta Hawks,91,Charlotte Hornets,109,,,,,,,,
Sacramento Kings,93,Dallas Mavericks,88,,,,,,,,
Portland Trail Blazers,114,Indiana Pacers,96,,,,,,,,
Cleveland Cavaliers,116,Milwaukee Bucks,97,,,,,,,,
Utah Jazz,97,Minnesota Timberwolves,100,,,,,,,,
Golden State Warriors,128,New Orleans Pelicans,120,,,,,,,,
Boston Celtics,102,Philadelphia 76ers,92,,,,,,,,
Los Angeles Lakers,132,Phoenix Suns,130,,,,,,,,
Detroit Pistons,111,Washington Wizards,115,,,,,,,,
San Antonio Spurs,87,Chicago Bulls,77,,,,,,,,
Orlando Magic,114,Cleveland Cavaliers,93,,,,,,,,
Sacramento Kings,79,Denver Nuggets,96,,,,,,,,
Dallas Mavericks,91,Houston Rockets,107,,,,,,,,
Phoenix Suns,88,Los Angeles Clippers,130,,,,,,,,
Golden State Warriors,101,Memphis Grizzlies,111,,,,,,,,
Indiana Pacers,108,Miami Heat,112,,,,,,,,
Portland Trail Blazers,110,Milwaukee Bucks,113,,,,,,,,
Detroit Pistons,111,New York Knicks,107,,,,,,,,
Philadelphia 76ers,94,Toronto Raptors,128,,,,,,,,
Oklahoma City Thunder,87,Utah Jazz,96,,,,,,,,
Atlanta Hawks,104,Brooklyn Nets,116,,,,,,,,
New Orleans Pelicans,119,Los Angeles Lakers,112,,,,,,,,
Minnesota Timberwolves,115,Oklahoma City Thunder,113,,,,,,,,
Golden State Warriors,133,Dallas Mavericks,103,,,,,,,,
Washington Wizards,109,Denver Nuggets,104,,,,,,,,
Philadelphia 76ers,97,Detroit Pistons,86,,,,,,,,
Memphis Grizzlies,98,Houston Rockets,90,,,,,,,,
Atlanta Hawks,93,Miami Heat,104,,,,,,,,
Charlotte Hornets,94,Milwaukee Bucks,103,,,,,,,,
Sacramento Kings,115,Phoenix Suns,117,,,,,,,,
Toronto Raptors,97,San Antonio Spurs,101,,,,,,,,
New York Knicks,89,Boston Celtics,110,,,,,,,,
Chicago Bulls,112,Cleveland Cavaliers,119,,,,,,,,
Utah Jazz,84,Los Angeles Clippers,102,,,,,,,,
Indiana Pacers,130,Minnesota Timberwolves,107,,,,,,,,
Brooklyn Nets,121,Orlando Magic,125,,,,,,,,
New Orleans Pelicans,93,Portland Trail Blazers,103,,,,,,,,
Cleveland Cavaliers,107,Brooklyn Nets,112,,,,,,,,
Denver Nuggets,93,Charlotte Hornets,110,,,,,,,,
Memphis Grizzlies,94,Dallas Mavericks,103,,,,,,,,
Minnesota Timberwolves,101,Detroit Pistons,122,,,,,,,,
Toronto Raptors,112,Golden State Warriors,117,,,,,,,,
Washington Wizards,99,Los Angeles Lakers,102,,,,,,,,
San Antonio Spurs,117,Miami Heat,100,,,,,,,,
Indiana Pacers,96,Oklahoma City Thunder,114,,,,,,,,
Houston Rockets,105,Philadelphia 76ers,104,,,,,,,,
Utah Jazz,88,Phoenix Suns,97,,,,,,,,
Atlanta Hawks,86,Chicago Bulls,91,,,,,,,,
Dallas Mavericks,91,Memphis Grizzlies,96,,,,,,,,
Boston Celtics,96,Milwaukee Bucks,89,,,,,,,,
Los Angeles Clippers,104,Portland Trail Blazers,103,,,,,,,,
New Orleans Pelicans,114,Sacramento Kings,106,,,,,,,,
Denver Nuggets,105,Atlanta Hawks,100,,,,,,,,
Houston Rockets,109,Charlotte Hornets,93,,,,,,,,
Washington Wizards,117,Golden State Warriors,120,,,,,,,,
Toronto Raptors,101,Los Angeles Lakers,92,,,,,,,,
Oklahoma City Thunder,116,Minnesota Timberwolves,119,,,,,,,,
Brooklyn Nets,86,New York Knicks,107,,,,,,,,
San Antonio Spurs,87,Orlando Magic,114,,,,,,,,
Oklahoma City Thunder,101,Chicago Bulls,69,,,,,,,,
Philadelphia 76ers,112,Dallas Mavericks,110,,,,,,,,
Detroit Pistons,95,Los Angeles Clippers,87,,,,,,,,
Houston Rockets,89,Memphis Grizzlies,103,,,,,,,,
Boston Celtics,96,Miami Heat,90,,,,,,,,
Cleveland Cavaliers,101,New Orleans Pelicans,123,,,,,,,,
Phoenix Suns,107,Portland Trail Blazers,114,,,,,,,,
Los Angeles Lakers,81,Utah Jazz,96,,,,,,,,
Milwaukee Bucks,117,Atlanta Hawks,106,,,,,,,,
Denver Nuggets,124,Brooklyn Nets,111,,,,,,,,
Orlando Magic,113,Charlotte Hornets,120,,,,,,,,
New York Knicks,114,Cleveland Cavaliers,95,,,,,,,,
Detroit Pistons,115,Golden State Warriors,107,,,,,,,,
San Antonio Spurs,94,Indiana Pacers,97,,,,,,,,
Washington Wizards,110,Sacramento Kings,83,,,,,,,,
San Antonio Spurs,94,Boston Celtics,108,,,,,,,,
Philadelphia 76ers,115,Houston Rockets,107,,,,,,,,
Golden State Warriors,141,Los Angeles Clippers,113,,,,,,,,
Charlotte Hornets,104,Memphis Grizzlies,99,,,,,,,,
Minnesota Timberwolves,125,Miami Heat,122,,,,,,,,
Orlando Magic,115,New Orleans Pelicans,99,,,,,,,,
Denver Nuggets,110,New York Knicks,116,,,,,,,,
Toronto Raptors,99,Portland Trail Blazers,85,,,,,,,,
Dallas Mavericks,89,Utah Jazz,104,,,,,,,,
Phoenix Suns,122,Brooklyn Nets,114,,,,,,,,
Sacramento Kings,83,Indiana Pacers,101,,,,,,,,
Detroit Pistons,93,Los Angeles Lakers,113,,,,,,,,
Oklahoma City Thunder,110,Milwaukee Bucks,91,,,,,,,,
Sacramento Kings,86,Boston Celtics,113,,,,,,,,
Milwaukee Bucks,121,Charlotte Hornets,126,,,,,,,,
Indiana Pacers,124,Cleveland Cavaliers,107,,,,,,,,
Toronto Raptors,111,Denver Nuggets,129,,,,,,,,
Dallas Mavericks,98,Los Angeles Clippers,119,,,,,,,,
Orlando Magic,101,Memphis Grizzlies,99,,,,,,,,
Chicago Bulls,91,Miami Heat,97,,,,,,,,
Minnesota Timberwolves,104,New Orleans Pelicans,98,,,,,,,,
Houston Rockets,119,New York Knicks,97,,,,,,,,
Atlanta Hawks,109,Philadelphia 76ers,119,,,,,,,,
Portland Trail Blazers,103,Utah Jazz,112,,,,,,,,
Phoenix Suns,122,Washington Wizards,116,,,,,,,,
Los Angeles Lakers,110,Portland Trail Blazers,113,,,,,,,,
Golden State Warriors,112,San Antonio Spurs,92,,,,,,,,
Houston Rockets,119,Atlanta Hawks,104,,,,,,,,
New Orleans Pelicans,99,Dallas Mavericks,94,,,,,,,,
Miami Heat,94,Denver Nuggets,95,,,,,,,,
Milwaukee Bucks,96,Detroit Pistons,105,,,,,,,,
Brooklyn Nets,112,Los Angeles Lakers,124,,,,,,,,
Phoenix Suns,107,New York Knicks,120,,,,,,,,
Boston Celtics,101,Oklahoma City Thunder,94,,,,,,,,
Chicago Bulls,105,Orlando Magic,83,,,,,,,,
Indiana Pacers,110,Philadelphia 76ers,121,,,,,,,,
Charlotte Hornets,101,San Antonio Spurs,108,,,,,,,,
Toronto Raptors,109,Utah Jazz,100,,,,,,,,
Cleveland Cavaliers,130,Washington Wizards,122,,,,,,,,
New Orleans Pelicans,96,Chicago Bulls,90,,,,,,,,
Golden State Warriors,127,Denver Nuggets,108,,,,,,,,
Sacramento Kings,99,Detroit Pistons,108,,,,,,,,
Memphis Grizzlies,113,Los Angeles Clippers,104,,,,,,,,
Dallas Mavericks,99,Minnesota Timberwolves,112,,,,,,,,
Atlanta Hawks,117,Cleveland Cavaliers,115,,,,,,,,
Utah Jazz,110,Houston Rockets,137,,,,,,,,
Miami Heat,104,Los Angeles Clippers,101,,,,,,,,
Memphis Grizzlies,102,Los Angeles Lakers,107,,,,,,,,
Charlotte Hornets,94,Minnesota Timberwolves,112,,,,,,,,
Indiana Pacers,101,New York Knicks,108,,,,,,,,
Boston Celtics,104,Orlando Magic,88,,,,,,,,
Oklahoma City Thunder,99,Portland Trail Blazers,103,,,,,,,,
Phoenix Suns,95,San Antonio Spurs,112,,,,,,,,
Washington Wizards,107,Toronto Raptors,96,,,,,,,,
Boston Celtics,110,Atlanta Hawks,107,,,,,,,,
Miami Heat,80,Golden State Warriors,97,,,,,,,,
Brooklyn Nets,98,Phoenix Suns,92,,,,,,,,
Milwaukee Bucks,119,Cleveland Cavaliers,124,,,,,,,,
Brooklyn Nets,104,Denver Nuggets,112,,,,,,,,
New Orleans Pelicans,117,Indiana Pacers,112,,,,,,,,
Charlotte Hornets,113,New York Knicks,118,,,,,,,,
Memphis Grizzlies,98,Portland Trail Blazers,97,,,,,,,,
Oklahoma City Thunder,86,Sacramento Kings,94,,,,,,,,
Los Angeles Clippers,107,San Antonio Spurs,120,,,,,,,,
Chicago Bulls,114,Toronto Raptors,119,,,,,,,,
Philadelphia 76ers,104,Utah Jazz,97,,,,,,,,
Dallas Mavericks,113,Washington Wizards,99,,,,,,,,
Los Angeles Lakers,96,Boston Celtics,107,,,,,,,,
Indiana Pacers,97,Detroit Pistons,114,,,,,,,,
Minnesota Timberwolves,101,Golden State Warriors,125,,,,,,,,
New York Knicks,99,Orlando Magic,112,,,,,,,,
Miami Heat,126,Phoenix Suns,115,,,,,,,,
Oklahoma City Thunder,94,Denver Nuggets,102,,,,,,,,
Cleveland Cavaliers,113,Houston Rockets,117,,,,,,,,
Philadelphia 76ers,108,Sacramento Kings,109,,,,,,,,
New Orleans Pelicans,118,Toronto Raptors,122,,,,,,,,
Los Angeles Lakers,95,Washington Wizards,111,,,,,,,,
Charlotte Hornets,87,Boston Celtics,90,,,,,,,,
Indiana Pacers,105,Chicago Bulls,87,,,,,,,,
Atlanta Hawks,104,Detroit Pistons,111,,,,,,,,
Los Angeles Clippers,111,Oklahoma City Thunder,120,,,,,,,,
Orlando Magic,128,Phoenix Suns,112,,,,,,,,
Brooklyn Nets,101,Portland Trail Blazers,97,,,,,,,,
Milwaukee Bucks,94,San Antonio Spurs,87,,,,,,,,
Miami Heat,84,Utah Jazz,74,,,,,,,,
Cleveland Cavaliers,111,Dallas Mavericks,104,,,,,,,,
Orlando Magic,107,Denver Nuggets,125,,,,,,,,
Philadelphia 76ers,114,Golden State Warriors,135,,,,,,,,
Memphis Grizzlies,96,Houston Rockets,111,,,,,,,,
Los Angeles Lakers,90,Milwaukee Bucks,98,,,,,,,,
Los Angeles Clippers,103,New Orleans Pelicans,111,,,,,,,,
Sacramento Kings,91,New York Knicks,118,,,,,,,,
Minnesota Timberwolves,110,Phoenix Suns,118,,,,,,,,
Chicago Bulls,94,San Antonio Spurs,133,,,,,,,,
Brooklyn Nets,106,Utah Jazz,114,,,,,,,,
Atlanta Hawks,94,Washington Wizards,113,,,,,,,,
Toronto Raptors,94,Boston Celtics,95,,,,,,,,
Miami Heat,103,Detroit Pistons,112,,,,,,,,
Houston Rockets,118,Indiana Pacers,95,,,,,,,,
Dallas Mavericks,99,Oklahoma City Thunder,112,,,,,,,,
Orlando Magic,100,Golden State Warriors,110,,,,,,,,
Philadelphia 76ers,109,Los Angeles Clippers,105,,,,,,,,
Memphis Grizzlies,103,Milwaukee Bucks,110,,,,,,,,
Atlanta Hawks,105,New Orleans Pelicans,106,,,,,,,,
Cleveland Cavaliers,104,New York Knicks,101,,,,,,,,
Los Angeles Lakers,100,Phoenix Suns,93,,,,,,,,
Denver Nuggets,82,Portland Trail Blazers,99,,,,,,,,
Minnesota Timberwolves,109,Utah Jazz,98,,,,,,,,
Sacramento Kings,92,Washington Wizards,110,,,,,,,,
Boston Celtics,109,Brooklyn Nets,102,,,,,,,,
San Antonio Spurs,97,Dallas Mavericks,91,,,,,,,,
Toronto Raptors,129,Houston Rockets,113,,,,,,,,
Sacramento Kings,80,Atlanta Hawks,126,,,,,,,,
Cleveland Cavaliers,115,Charlotte Hornets,107,,,,,,,,
Philadelphia 76ers,115,Los Angeles Lakers,109,,,,,,,,
Indiana Pacers,116,Memphis Grizzlies,113,,,,,,,,
Washington Wizards,102,Miami Heat,93,,,,,,,,
Detroit Pistons,95,Milwaukee Bucks,99,,,,,,,,
San Antonio Spurs,86,Minnesota Timberwolves,98,,,,,,,,
Toronto Raptors,125,New Orleans Pelicans,116,,,,,,,,
Utah Jazz,101,New York Knicks,106,,,,,,,,
Chicago Bulls,79,Oklahoma City Thunder,92,,,,,,,,
Orlando Magic,94,Portland Trail Blazers,99,,,,,,,,
Golden State Warriors,88,Boston Celtics,92,,,,,,,,
Houston Rockets,142,Phoenix Suns,116,,,,,,,,
Utah Jazz,107,Brooklyn Nets,118,,,,,,,,
Charlotte Hornets,120,Chicago Bulls,123,,,,,,,,
Los Angeles Clippers,113,Cleveland Cavaliers,118,,,,,,,,
Minnesota Timberwolves,111,Dallas Mavericks,87,,,,,,,,
New Orleans Pelicans,114,Denver Nuggets,146,,,,,,,,
Detroit Pistons,100,Indiana Pacers,107,,,,,,,,
Phoenix Suns,122,Los Angeles Lakers,113,,,,,,,,
Portland Trail Blazers,82,Sacramento Kings,86,,,,,,,,
Oklahoma City Thunder,101,San Antonio Spurs,104,,,,,,,,
New York Knicks,84,Toronto Raptors,107,,,,,,,,
Miami Heat,91,Washington Wizards,88,,,,,,,,
Boston Celtics,110,Atlanta Hawks,99,,,,,,,,
Los Angeles Clippers,87,Charlotte Hornets,102,,,,,,,,
Milwaukee Bucks,79,Dallas Mavericks,111,,,,,,,,
Houston Rockets,105,Memphis Grizzlies,83,,,,,,,,
Utah Jazz,125,Orlando Magic,85,,,,,,,,
Golden State Warriors,124,Philadelphia 76ers,116,,,,,,,,
Sacramento Kings,90,Portland Trail Blazers,102,,,,,,,,
Golden State Warriors,118,Brooklyn Nets,111,,,,,,,,
Denver Nuggets,109,Los Angeles Lakers,127,,,,,,,,
Indiana Pacers,120,Miami Heat,95,,,,,,,,
Detroit Pistons,100,Minnesota Timberwolves,97,,,,,,,,
Chicago Bulls,105,Phoenix Suns,113,,,,,,,,
Washington Wizards,91,Toronto Raptors,100,,,,,,,,
Minnesota Timberwolves,102,Charlotte Hornets,118,,,,,,,,
Boston Celtics,110,Dallas Mavericks,102,,,,,,,,
Cleveland Cavaliers,116,Detroit Pistons,88,,,,,,,,
Portland Trail Blazers,100,Memphis Grizzlies,92,,,,,,,,
Washington Wizards,99,Milwaukee Bucks,88,,,,,,,,
Oklahoma City Thunder,107,New Orleans Pelicans,114,,,,,,,,
Los Angeles Clippers,85,New York Knicks,107,,,,,,,,
Indiana Pacers,105,Orlando Magic,97,,,,,,,,
Utah Jazz,86,Philadelphia 76ers,107,,,,,,,,
Denver Nuggets,114,Sacramento Kings,98,,,,,,,,
Atlanta Hawks,85,San Antonio Spurs,96,,,,,,,,
Chicago Bulls,94,Los Angeles Lakers,103,,,,,,,,
Los Angeles Clippers,116,Atlanta Hawks,103,,,,,,,,
Washington Wizards,124,Charlotte Hornets,129,,,,,,,,
Brooklyn Nets,109,Cleveland Cavaliers,119,,,,,,,,
Denver Nuggets,95,Houston Rockets,125,,,,,,,,
Dallas Mavericks,95,Memphis Grizzlies,94,,,,,,,,
Boston Celtics,98,Miami Heat,104,,,,,,,,
Orlando Magic,118,Minnesota Timberwolves,124,,,,,,,,
San Antonio Spurs,90,New Orleans Pelicans,107,,,,,,,,
Toronto Raptors,100,New York Knicks,108,,,,,,,,
Golden State Warriors,91,Oklahoma City Thunder,108,,,,,,,,
Portland Trail Blazers,81,Philadelphia 76ers,101,,,,,,,,
Milwaukee Bucks,113,Phoenix Suns,107,,,,,,,,
Los Angeles Lakers,102,Sacramento Kings,113,,,,,,,,
Chicago Bulls,80,Utah Jazz,110,,,,,,,,
New York Knicks,104,Atlanta Hawks,116,,,,,,,,
Orlando Magic,103,Boston Celtics,118,,,,,,,,
Portland Trail Blazers,127,Brooklyn Nets,125,,,,,,,,
Charlotte Hornets,99,Cleveland Cavaliers,100,,,,,,,,
Memphis Grizzlies,92,Denver Nuggets,104,,,,,,,,
Chicago Bulls,94,Golden State Warriors,143,,,,,,,,
Toronto Raptors,104,Indiana Pacers,107,,,,,,,,
Miami Heat,109,Minnesota Timberwolves,97,,,,,,,,
Detroit Pistons,99,Oklahoma City Thunder,98,,,,,,,,
New Orleans Pelicans,115,Phoenix Suns,91,,,,,,,,
Toronto Raptors,112,Atlanta Hawks,78,,,,,,,,
San Antonio Spurs,106,Charlotte Hornets,86,,,,,,,,
Oklahoma City Thunder,81,Dallas Mavericks,97,,,,,,,,
New Orleans Pelicans,95,Golden State Warriors,110,,,,,,,,
New York Knicks,102,Houston Rockets,117,,,,,,,,
Boston Celtics,108,Indiana Pacers,98,,,,,,,,
Orlando Magic,111,Philadelphia 76ers,130,,,,,,,,
Los Angeles Clippers,97,Sacramento Kings,95,,,,,,,,
Milwaukee Bucks,108,Utah Jazz,121,,,,,,,,
Portland Trail Blazers,108,Washington Wizards,105,,,,,,,,
Miami Heat,100,Chicago Bulls,93,,,,,,,,
Brooklyn Nets,98,Memphis Grizzlies,88,,,,,,,,
Phoenix Suns,108,Minnesota Timberwolves,119,,,,,,,,
Detroit Pistons,118,Boston Celtics,108,,,,,,,,
Sacramento Kings,110,Golden State Warriors,106,,,,,,,,
Brooklyn Nets,103,Houston Rockets,117,,,,,,,,
Orlando Magic,109,Indiana Pacers,121,,,,,,,,
Los Angeles Lakers,115,Los Angeles Clippers,120,,,,,,,,
Portland Trail Blazers,103,New York Knicks,91,,,,,,,,
Cleveland Cavaliers,113,Philadelphia 76ers,91,,,,,,,,
Dallas Mavericks,108,San Antonio Spurs,115,,,,,,,,
Phoenix Suns,104,Chicago Bulls,99,,,,,,,,
Miami Heat,97,Cleveland Cavaliers,108,,,,,,,,
Washington Wizards,92,Minnesota Timberwolves,89,,,,,,,,
Milwaukee Bucks,112,Sacramento Kings,87,,,,,,,,
Denver Nuggets,77,Utah Jazz,106,,,,,,,,
Brooklyn Nets,109,Dallas Mavericks,104,,,,,,,,
Phoenix Suns,107,Detroit Pistons,131,,,,,,,,
Indiana Pacers,97,Houston Rockets,118,,,,,,,,
Golden State Warriors,127,Los Angeles Lakers,123,,,,,,,,
Minnesota Timberwolves,120,New Orleans Pelicans,102,,,,,,,,
Miami Heat,86,New York Knicks,115,,,,,,,,
Oklahoma City Thunder,108,Orlando Magic,121,,,,,,,,
Washington Wizards,113,Philadelphia 76ers,118,,,,,,,,
Memphis Grizzlies,95,San Antonio Spurs,104,,,,,,,,
Charlotte Hornets,113,Toronto Raptors,126,,,,,,,,
Cleveland Cavaliers,121,Atlanta Hawks,114,,,,,,,,
Philadelphia 76ers,97,Boston Celtics,108,,,,,,,,
Chicago Bulls,110,Denver Nuggets,111,,,,,,,,
Utah Jazz,126,Los Angeles Clippers,107,,,,,,,,
Milwaukee Bucks,103,Portland Trail Blazers,91,,,,,,,,
Sacramento Kings,107,Chicago Bulls,106,,,,,,,,
San Antonio Spurs,95,Memphis Grizzlies,79,,,,,,,,
Charlotte Hornets,100,Miami Heat,105,,,,,,,,
Minnesota Timberwolves,107,Oklahoma City Thunder,111,,,,,,,,
Golden State Warriors,133,Orlando Magic,112,,,,,,,,
Indiana Pacers,115,Toronto Raptors,120,,,,,,,,
New Orleans Pelicans,108,Utah Jazz,114,,,,,,,,
Detroit Pistons,91,Washington Wizards,109,,,,,,,,
Phoenix Suns,111,Boston Celtics,116,,,,,,,,
Atlanta Hawks,114,Brooklyn Nets,102,,,,,,,,
Memphis Grizzlies,111,Cleveland Cavaliers,116,,,,,,,,
Los Angeles Clippers,82,Dallas Mavericks,108,,,,,,,,
Los Angeles Lakers,100,Denver Nuggets,115,,,,,,,,
Sacramento Kings,104,Milwaukee Bucks,109,,,,,,,,
Detroit Pistons,103,Philadelphia 76ers,108,,,,,,,,
New Orleans Pelicans,123,Portland Trail Blazers,116,,,,,,,,
Houston Rockets,118,Los Angeles Lakers,95,,,,,,,,
Golden State Warriors,123,Miami Heat,95,,,,,,,,
Los Angeles Clippers,106,Minnesota Timberwolves,112,,,,,,,,
Orlando Magic,105,New York Knicks,100,,,,,,,,
San Antonio Spurs,87,Oklahoma City Thunder,90,,,,,,,,
Brooklyn Nets,110,Atlanta Hawks,90,,,,,,,,
Milwaukee Bucks,100,Boston Celtics,111,,,,,,,,
Cleveland Cavaliers,113,Chicago Bulls,91,,,,,,,,
Orlando Magic,94,Charlotte Hornets,104,,,,,,,,
Denver Nuggets,105,Dallas Mavericks,122,,,,,,,,
New York Knicks,97,Indiana Pacers,115,,,,,,,,
Minnesota Timberwolves,92,Memphis Grizzlies,95,,,,,,,,
Golden State Warriors,125,New Orleans Pelicans,115,,,,,,,,
Phoenix Suns,115,Philadelphia 76ers,101,,,,,,,,
Detroit Pistons,93,San Antonio Spurs,96,,,,,,,,
Washington Wizards,69,Utah Jazz,116,,,,,,,,
Utah Jazz,94,Oklahoma City Thunder,100,,,,,,,,
Washington Wizards,106,Portland Trail Blazers,92,,,,,,,,
Phoenix Suns,113,Toronto Raptors,126,,,,,,,,
Dallas Mavericks,90,Boston Celtics,97,,,,,,,,
Golden State Warriors,101,Charlotte Hornets,87,,,,,,,,
Sacramento Kings,95,Cleveland Cavaliers,101,,,,,,,,
Chicago Bulls,96,Indiana Pacers,98,,,,,,,,
Minnesota Timberwolves,113,Los Angeles Clippers,107,,,,,,,,
Detroit Pistons,100,Milwaukee Bucks,104,,,,,,,,
Denver Nuggets,114,New Orleans Pelicans,123,,,,,,,,
Memphis Grizzlies,88,New York Knicks,99,,,,,,,,
Atlanta Hawks,106,Orlando Magic,110,,,,,,,,
Miami Heat,105,San Antonio Spurs,117,,,,,,,,
Oklahoma City Thunder,95,Brooklyn Nets,100,,,,,,,,
Los Angeles Lakers,107,Philadelphia 76ers,104,,,,,,,,
Washington Wizards,109,Phoenix Suns,99,,,,,,,,
Houston Rockets,112,Utah Jazz,101,,,,,,,,
Chicago Bulls,119,Charlotte Hornets,111,,,,,,,,
Golden State Warriors,102,Detroit Pistons,98,,,,,,,,
Cleveland Cavaliers,102,Indiana Pacers,106,,,,,,,,
Toronto Raptors,116,Memphis Grizzlies,107,,,,,,,,
Dallas Mavericks,102,Milwaukee Bucks,109,,,,,,,,
Sacramento Kings,116,New Orleans Pelicans,109,,,,,,,,
Denver Nuggets,103,Orlando Magic,89,,,,,,,,
Boston Celtics,102,San Antonio Spurs,105,,,,,,,,
Orlando Magic,110,Atlanta Hawks,117,,,,,,,,
Miami Heat,101,Brooklyn Nets,89,,,,,,,,
New York Knicks,102,Chicago Bulls,104,,,,,,,,
Los Angeles Lakers,110,Charlotte Hornets,99,,,,,,,,
Philadelphia 76ers,98,Cleveland Cavaliers,105,,,,,,,,
Washington Wizards,112,Los Angeles Clippers,113,,,,,,,,
Oklahoma City Thunder,102,Memphis Grizzlies,101,,,,,,,,
Utah Jazz,100,Milwaukee Bucks,117,,,,,,,,
San Antonio Spurs,104,Phoenix Suns,101,,,,,,,,
Houston Rockets,124,Portland Trail Blazers,117,,,,,,,,
Boston Celtics,91,Detroit Pistons,81,,,,,,,,
Denver Nuggets,116,Indiana Pacers,126,,,,,,,,
Dallas Mavericks,92,Minnesota Timberwolves,97,,,,,,,,
Philadelphia 76ers,124,New Orleans Pelicans,131,,,,,,,,
Atlanta Hawks,107,New York Knicks,111,,,,,,,,
Toronto Raptors,102,Sacramento Kings,87,,,,,,,,
Boston Celtics,85,Chicago Bulls,108,,,,,,,,
Portland Trail Blazers,104,Golden State Warriors,111,,,,,,,,
New Orleans Pelicans,123,Houston Rockets,130,,,,,,,,
Toronto Raptors,91,Los Angeles Clippers,96,,,,,,,,
Miami Heat,107,Memphis Grizzlies,82,,,,,,,,
Charlotte Hornets,116,Oklahoma City Thunder,103,,,,,,,,
Washington Wizards,98,Brooklyn Nets,103,,,,,,,,
Atlanta Hawks,114,Cleveland Cavaliers,123,,,,,,,,
San Antonio Spurs,89,Dallas Mavericks,95,,,,,,,,
Denver Nuggets,103,Detroit Pistons,84,,,,,,,,
Philadelphia 76ers,118,Minnesota Timberwolves,112,,,,,,,,
Los Angeles Lakers,109,New York Knicks,113,,,,,,,,
Phoenix Suns,92,Sacramento Kings,99,,,,,,,,
Denver Nuggets,118,Boston Celtics,124,,,,,,,,
Utah Jazz,100,Chicago Bulls,103,,,,,,,,
Charlotte Hornets,96,Houston Rockets,108,,,,,,,,
Oklahoma City Thunder,100,Indiana Pacers,95,,,,,,,,
Portland Trail Blazers,102,Miami Heat,95,,,,,,,,
Milwaukee Bucks,108,New Orleans Pelicans,115,,,,,,,,
