Visitor,PTS,Home,PTS,visitorWin,homeWin,visTotWL,homeTotWL,visvisWL,homehomeWL,visMatchupWL,homeMatchupWL
Los Angeles Clippers,106,Orlando Magic,95,,,,,,,,
Toronto Raptors,115,Phoenix Suns,109,,,,,,,,
Memphis Grizzlies,87,Washington Wizards,93,,,,,,,,
Detroit Pistons,105,Atlanta Hawks,91,,,,,,,,
New York Knicks,111,Brooklyn Nets,104,,,,,,,,
Los Angeles Lakers,112,Cleveland Cavaliers,121,,,,,,,,
Dallas Mavericks,97,Golden State Warriors,112,,,,,,,,
Sacramento Kings,96,Minnesota Timberwolves,119,,,,,,,,
Utah Jazz,107,Boston Celtics,95,,,,,,,,
Miami Heat,104,Charlotte Hornets,98,,,,,,,,
New Orleans Pelicans,111,Denver Nuggets,117,,,,,,,,
San Antonio Spurs,109,Houston Rockets,124,,,,,,,,
Detroit Pistons,104,Indiana Pacers,98,,,,,,,,
Atlanta Hawks,94,Memphis Grizzlies,96,,,,,,,,
Chicago Bulls,115,Milwaukee Bucks,109,,,,,,,,
Portland Trail Blazers,95,Orlando Magic,88,,,,,,,,
Oklahoma City Thunder,119,Philadelphia 76ers,117,,,,,,,,
Brooklyn Nets,87,Toronto Raptors,120,,,,,,,,
Los Angeles Clippers,91,Washington Wizards,100,,,,,,,,
Portland Trail Blazers,93,Charlotte Hornets,91,,,,,,,,
Utah Jazz,100,Cleveland Cavaliers,109,,,,,,,,
Milwaukee Bucks,111,Houston Rockets,115,,,,,,,,
Boston Celtics,102,Memphis Grizzlies,93,,,,,,,,
Los Angeles Clippers,85,Miami Heat,90,,,,,,,,
Phoenix Suns,108,Minnesota Timberwolves,106,,,,,,,,
Oklahoma City Thunder,96,New York Knicks,111,,,,,,,,
Dallas Mavericks,96,San Antonio Spurs,98,,,,,,,,
Indiana Pacers,109,Brooklyn Nets,97,,,,,,,,
Orlando Magic,110,Detroit Pistons,114,,,,,,,,
Sacramento Kings,93,Toronto Raptors,108,,,,,,,,
Cleveland Cavaliers,106,Washington Wizards,99,,,,,,,,
Miami Heat,104,Atlanta Hawks,110,,,,,,,,
Philadelphia 76ers,115,Chicago Bulls,117,,,,,,,,
New York Knicks,91,Charlotte Hornets,109,,,,,,,,
Phoenix Suns,97,Dallas Mavericks,91,,,,,,,,
Utah Jazz,99,Houston Rockets,120,,,,,,,,
Boston Celtics,112,Indiana Pacers,111,,,,,,,,
Golden State Warriors,116,Los Angeles Lakers,114,,,,,,,,
Portland Trail Blazers,107,Minnesota Timberwolves,108,,,,,,,,
Denver Nuggets,94,Oklahoma City Thunder,95,,,,,,,,
Los Angeles Clippers,91,San Antonio Spurs,109,,,,,,,,
Cleveland Cavaliers,116,Milwaukee Bucks,119,,,,,,,,
Sacramento Kings,101,Philadelphia 76ers,95,,,,,,,,
New Orleans Pelicans,106,Washington Wizards,116,,,,,,,,
Indiana Pacers,105,Atlanta Hawks,95,,,,,,,,
Miami Heat,90,Boston Celtics,89,,,,,,,,
Sacramento Kings,104,Brooklyn Nets,99,,,,,,,,
Orlando Magic,94,Chicago Bulls,112,,,,,,,,
Toronto Raptors,129,Charlotte Hornets,111,,,,,,,,
Detroit Pistons,93,Dallas Mavericks,110,,,,,,,,
Minnesota Timberwolves,112,Denver Nuggets,104,,,,,,,,
Memphis Grizzlies,84,Golden State Warriors,97,,,,,,,,
Los Angeles Lakers,122,Houston Rockets,116,,,,,,,,
Phoenix Suns,95,Los Angeles Clippers,108,,,,,,,,
Utah Jazz,79,Oklahoma City Thunder,107,,,,,,,,
San Antonio Spurs,93,Portland Trail Blazers,91,,,,,,,,
Chicago Bulls,112,Cleveland Cavaliers,115,,,,,,,,
Boston Celtics,93,New York Knicks,102,,,,,,,,
Toronto Raptors,114,Philadelphia 76ers,109,,,,,,,,
Memphis Grizzlies,95,Phoenix Suns,97,,,,,,,,
San Antonio Spurs,89,Utah Jazz,100,,,,,,,,
Washington Wizards,84,Brooklyn Nets,119,,,,,,,,
New York Knicks,101,Detroit Pistons,104,,,,,,,,
Los Angeles Lakers,106,Golden State Warriors,113,,,,,,,,
Los Angeles Clippers,128,Houston Rockets,118,,,,,,,,
Dallas Mavericks,101,Miami Heat,113,,,,,,,,
Charlotte Hornets,104,Milwaukee Bucks,109,,,,,,,,
Atlanta Hawks,117,Oklahoma City Thunder,120,,,,,,,,
New Orleans Pelicans,111,Orlando Magic,97,,,,,,,,
Denver Nuggets,102,Portland Trail Blazers,85,,,,,,,,
Dallas Mavericks,107,Atlanta Hawks,112,,,,,,,,
Chicago Bulls,92,Boston Celtics,117,,,,,,,,
Milwaukee Bucks,106,Charlotte Hornets,111,,,,,,,,
Denver Nuggets,96,Golden State Warriors,81,,,,,,,,
Brooklyn Nets,119,Indiana Pacers,123,,,,,,,,
Portland Trail Blazers,95,Los Angeles Lakers,92,,,,,,,,
Los Angeles Clippers,112,Memphis Grizzlies,115,,,,,,,,
New Orleans Pelicans,109,Miami Heat,94,,,,,,,,
Minnesota Timberwolves,115,Phoenix Suns,106,,,,,,,,
San Antonio Spurs,108,Sacramento Kings,99,,,,,,,,
Philadelphia 76ers,86,Toronto Raptors,102,,,,,,,,
Oklahoma City Thunder,103,Utah Jazz,89,,,,,,,,
Orlando Magic,103,Washington Wizards,130,,,,,,,,
Washington Wizards,111,Boston Celtics,103,,,,,,,,
Cleveland Cavaliers,92,Golden State Warriors,99,,,,,,,,
Minnesota Timberwolves,121,Los Angeles Lakers,104,,,,,,,,
Philadelphia 76ers,105,New York Knicks,98,,,,,,,,
Houston Rockets,107,Oklahoma City Thunder,112,,,,,,,,
Toronto Raptors,93,Dallas Mavericks,98,,,,,,,,
Utah Jazz,83,Denver Nuggets,107,,,,,,,,
Indiana Pacers,83,Detroit Pistons,107,,,,,,,,
Sacramento Kings,95,Los Angeles Clippers,122,,,,,,,,
Orlando Magic,89,Miami Heat,107,,,,,,,,
Chicago Bulls,115,Milwaukee Bucks,106,,,,,,,,
Memphis Grizzlies,97,Phoenix Suns,99,,,,,,,,
Brooklyn Nets,97,San Antonio Spurs,109,,,,,,,,
Washington Wizards,99,Atlanta Hawks,113,,,,,,,,
New York Knicks,87,Chicago Bulls,92,,,,,,,,
Boston Celtics,102,Charlotte Hornets,91,,,,,,,,
Utah Jazz,101,Golden State Warriors,126,,,,,,,,
Dallas Mavericks,98,Indiana Pacers,94,,,,,,,,
Memphis Grizzlies,109,Los Angeles Lakers,99,,,,,,,,
Denver Nuggets,125,Minnesota Timberwolves,128,,,,,,,,
Brooklyn Nets,113,New Orleans Pelicans,128,,,,,,,,
Toronto Raptors,107,Oklahoma City Thunder,124,,,,,,,,
Cleveland Cavaliers,95,Sacramento Kings,109,,,,,,,,
Houston Rockets,98,Boston Celtics,99,,,,,,,,
Minnesota Timberwolves,96,Milwaukee Bucks,102,,,,,,,,
Detroit Pistons,89,Orlando Magic,102,,,,,,,,
Philadelphia 76ers,110,Portland Trail Blazers,114,,,,,,,,
New York Knicks,107,San Antonio Spurs,119,,,,,,,,
Indiana Pacers,107,Chicago Bulls,119,,,,,,,,
Charlotte Hornets,111,Golden State Warriors,100,,,,,,,,
Los Angeles Clippers,121,Los Angeles Lakers,106,,,,,,,,
Brooklyn Nets,111,Miami Heat,87,,,,,,,,
Dallas Mavericks,128,New Orleans Pelicans,120,,,,,,,,
Milwaukee Bucks,97,Oklahoma City Thunder,95,,,,,,,,
Phoenix Suns,111,Sacramento Kings,101,,,,,,,,
Atlanta Hawks,98,Toronto Raptors,111,,,,,,,,
Houston Rockets,103,Washington Wizards,121,,,,,,,,
Portland Trail Blazers,89,Atlanta Hawks,104,,,,,,,,
Philadelphia 76ers,107,Denver Nuggets,102,,,,,,,,
San Antonio Spurs,79,Detroit Pistons,93,,,,,,,,
Memphis Grizzlies,128,Golden State Warriors,141,,,,,,,,
New York Knicks,105,New Orleans Pelicans,103,,,,,,,,
Miami Heat,117,Orlando Magic,111,,,,,,,,
Cleveland Cavaliers,101,Utah Jazz,104,,,,,,,,
Brooklyn Nets,105,Boston Celtics,108,,,,,,,,
Los Angeles Lakers,142,Houston Rockets,148,,,,,,,,
Minnesota Timberwolves,107,Indiana Pacers,90,,,,,,,,
Charlotte Hornets,98,Los Angeles Clippers,106,,,,,,,,
Dallas Mavericks,116,Oklahoma City Thunder,113,,,,,,,,
Philadelphia 76ers,123,Phoenix Suns,110,,,,,,,,
Memphis Grizzlies,114,Sacramento Kings,96,,,,,,,,
Chicago Bulls,110,Washington Wizards,114,,,,,,,,
Orlando Magic,95,Brooklyn Nets,98,,,,,,,,
Portland Trail Blazers,124,Chicago Bulls,120,,,,,,,,
Los Angeles Lakers,96,Minnesota Timberwolves,114,,,,,,,,
Milwaukee Bucks,127,Toronto Raptors,131,,,,,,,,
Portland Trail Blazers,110,Cleveland Cavaliers,127,,,,,,,,
Memphis Grizzlies,105,Los Angeles Clippers,113,,,,,,,,
San Antonio Spurs,100,New York Knicks,91,,,,,,,,
Atlanta Hawks,103,Phoenix Suns,104,,,,,,,,
Charlotte Hornets,131,Sacramento Kings,111,,,,,,,,
Cleveland Cavaliers,88,Boston Celtics,102,,,,,,,,
Minnesota Timberwolves,97,Brooklyn Nets,98,,,,,,,,
Toronto Raptors,124,Chicago Bulls,115,,,,,,,,
Golden State Warriors,125,Dallas Mavericks,122,,,,,,,,
Phoenix Suns,111,Denver Nuggets,134,,,,,,,,
Oklahoma City Thunder,133,Los Angeles Lakers,96,,,,,,,,
Detroit Pistons,104,Miami Heat,111,,,,,,,,
Indiana Pacers,101,Milwaukee Bucks,122,,,,,,,,
Houston Rockets,116,Orlando Magic,98,,,,,,,,
San Antonio Spurs,106,Philadelphia 76ers,112,,,,,,,,
New Orleans Pelicans,108,Utah Jazz,98,,,,,,,,
New York Knicks,103,Washington Wizards,121,,,,,,,,
Golden State Warriors,124,Houston Rockets,114,,,,,,,,
Oklahoma City Thunder,127,Los Angeles Clippers,117,,,,,,,,
Minnesota Timberwolves,84,Boston Celtics,91,,,,,,,,
Chicago Bulls,127,Dallas Mavericks,124,,,,,,,,
Utah Jazz,91,Denver Nuggets,99,,,,,,,,
Charlotte Hornets,108,Los Angeles Lakers,94,,,,,,,,
Washington Wizards,102,Memphis Grizzlies,100,,,,,,,,
New York Knicks,103,Miami Heat,107,,,,,,,,
Toronto Raptors,129,Milwaukee Bucks,110,,,,,,,,
Detroit Pistons,78,Philadelphia 76ers,114,,,,,,,,
Atlanta Hawks,89,Portland Trail Blazers,110,,,,,,,,
Phoenix Suns,89,San Antonio Spurs,103,,,,,,,,
Boston Celtics,87,Brooklyn Nets,85,,,,,,,,
Houston Rockets,101,Detroit Pistons,108,,,,,,,,
Chicago Bulls,86,Indiana Pacers,125,,,,,,,,
Golden State Warriors,121,Los Angeles Clippers,105,,,,,,,,
New Orleans Pelicans,98,Minnesota Timberwolves,116,,,,,,,,
Cleveland Cavaliers,131,Orlando Magic,127,,,,,,,,
Denver Nuggets,98,Sacramento Kings,106,,,,,,,,
Milwaukee Bucks,110,Washington Wizards,103,,,,,,,,
New York Knicks,100,Dallas Mavericks,96,,,,,,,,
Atlanta Hawks,113,Los Angeles Lakers,132,,,,,,,,
Utah Jazz,102,Miami Heat,103,,,,,,,,
Oklahoma City Thunder,100,Phoenix Suns,114,,,,,,,,
San Antonio Spurs,110,Portland Trail Blazers,111,,,,,,,,
Toronto Raptors,114,Brooklyn Nets,113,,,,,,,,
Houston Rockets,116,Chicago Bulls,107,,,,,,,,
Denver Nuggets,114,Golden State Warriors,124,,,,,,,,
Milwaukee Bucks,96,Indiana Pacers,109,,,,,,,,
Atlanta Hawks,107,Los Angeles Clippers,108,,,,,,,,
Cleveland Cavaliers,99,Minnesota Timberwolves,127,,,,,,,,
Detroit Pistons,109,New Orleans Pelicans,112,,,,,,,,
San Antonio Spurs,107,Sacramento Kings,100,,,,,,,,
Orlando Magic,99,Dallas Mavericks,114,,,,,,,,
Sacramento Kings,86,Los Angeles Lakers,99,,,,,,,,
Portland Trail Blazers,117,Oklahoma City Thunder,106,,,,,,,,
Miami Heat,90,Toronto Raptors,89,,,,,,,,
Detroit Pistons,114,Brooklyn Nets,80,,,,,,,,
Dallas Mavericks,115,Charlotte Hornets,111,,,,,,,,
Atlanta Hawks,110,Denver Nuggets,97,,,,,,,,
Los Angeles Clippers,125,Golden State Warriors,106,,,,,,,,
Portland Trail Blazers,112,Houston Rockets,121,,,,,,,,
Miami Heat,114,Indiana Pacers,106,,,,,,,,
New Orleans Pelicans,102,Memphis Grizzlies,105,,,,,,,,
Orlando Magic,103,Milwaukee Bucks,110,,,,,,,,
Oklahoma City Thunder,88,Minnesota Timberwolves,104,,,,,,,,
Chicago Bulls,122,New York Knicks,119,,,,,,,,
Utah Jazz,107,Washington Wizards,104,,,,,,,,
San Antonio Spurs,81,Los Angeles Lakers,93,,,,,,,,
Boston Celtics,114,Philadelphia 76ers,103,,,,,,,,
Los Angeles Clippers,121,Sacramento Kings,115,,,,,,,,
Cleveland Cavaliers,99,Toronto Raptors,133,,,,,,,,
Brooklyn Nets,110,Atlanta Hawks,105,,,,,,,,
Utah Jazz,88,Charlotte Hornets,99,,,,,,,,
Memphis Grizzlies,78,Denver Nuggets,87,,,,,,,,
Cleveland Cavaliers,95,Indiana Pacers,97,,,,,,,,
Golden State Warriors,108,Milwaukee Bucks,94,,,,,,,,
New York Knicks,108,Minnesota Timberwolves,118,,,,,,,,
Portland Trail Blazers,113,New Orleans Pelicans,119,,,,,,,,
Houston Rockets,112,Phoenix Suns,95,,,,,,,,
Orlando Magic,119,Washington Wizards,125,,,,,,,,
Detroit Pistons,105,Chicago Bulls,107,,,,,,,,
Oklahoma City Thunder,101,Charlotte Hornets,91,,,,,,,,
Los Angeles Lakers,107,Dallas Mavericks,101,,,,,,,,
Sacramento Kings,105,Los Angeles Clippers,126,,,,,,,,
Denver Nuggets,80,San Antonio Spurs,112,,,,,,,,
Golden State Warriors,127,Toronto Raptors,125,,,,,,,,
Brooklyn Nets,113,Washington Wizards,119,,,,,,,,
Milwaukee Bucks,79,Miami Heat,97,,,,,,,,
Portland Trail Blazers,103,Minnesota Timberwolves,120,,,,,,,,
New Orleans Pelicans,123,New York Knicks,118,,,,,,,,
Indiana Pacers,120,Phoenix Suns,97,,,,,,,,
San Antonio Spurs,99,Atlanta Hawks,102,,,,,,,,
New York Knicks,119,Brooklyn Nets,104,,,,,,,,
Miami Heat,111,Chicago Bulls,119,,,,,,,,
Golden State Warriors,118,Cleveland Cavaliers,108,,,,,,,,
Charlotte Hornets,118,Detroit Pistons,107,,,,,,,,
Houston Rockets,102,Los Angeles Clippers,113,,,,,,,,
Los Angeles Lakers,114,Memphis Grizzlies,123,,,,,,,,
Sacramento Kings,88,Oklahoma City Thunder,95,,,,,,,,
Toronto Raptors,111,Philadelphia 76ers,117,,,,,,,,
Indiana Pacers,109,Utah Jazz,94,,,,,,,,
Milwaukee Bucks,104,Washington Wizards,95,,,,,,,,
New Orleans Pelicans,116,Boston Celtics,113,,,,,,,,
Dallas Mavericks,102,Denver Nuggets,105,,,,,,,,
Minnesota Timberwolves,102,Orlando Magic,108,,,,,,,,
Phoenix Suns,111,Portland Trail Blazers,118,,,,,,,,
New Orleans Pelicans,93,Atlanta Hawks,94,,,,,,,,
San Antonio Spurs,100,Brooklyn Nets,95,,,,,,,,
Golden State Warriors,119,Chicago Bulls,112,,,,,,,,
Washington Wizards,109,Charlotte Hornets,133,,,,,,,,
Denver Nuggets,104,Los Angeles Clippers,109,,,,,,,,
New York Knicks,99,Memphis Grizzlies,105,,,,,,,,
Miami Heat,106,Milwaukee Bucks,101,,,,,,,,
Los Angeles Lakers,90,Oklahoma City Thunder,114,,,,,,,,
Utah Jazz,120,Sacramento Kings,105,,,,,,,,
Detroit Pistons,91,Toronto Raptors,96,,,,,,,,
Philadelphia 76ers,89,Boston Celtics,80,,,,,,,,
Orlando Magic,103,Cleveland Cavaliers,104,,,,,,,,
Minnesota Timberwolves,98,Houston Rockets,116,,,,,,,,
Indiana Pacers,86,Portland Trail Blazers,100,,,,,,,,
Miami Heat,95,Brooklyn Nets,101,,,,,,,,
Phoenix Suns,108,Denver Nuggets,100,,,,,,,,
Washington Wizards,122,Detroit Pistons,112,,,,,,,,
Indiana Pacers,86,Los Angeles Lakers,99,,,,,,,,
Sacramento Kings,88,Memphis Grizzlies,106,,,,,,,,
San Antonio Spurs,83,Toronto Raptors,86,,,,,,,,
New York Knicks,117,Utah Jazz,115,,,,,,,,
Chicago Bulls,113,Atlanta Hawks,97,,,,,,,,
Miami Heat,106,Charlotte Hornets,105,,,,,,,,
Oklahoma City Thunder,148,Cleveland Cavaliers,124,,,,,,,,
Golden State Warriors,108,Houston Rockets,116,,,,,,,,
Toronto Raptors,109,Minnesota Timberwolves,115,,,,,,,,
Memphis Grizzlies,104,New Orleans Pelicans,111,,,,,,,,
Milwaukee Bucks,94,Philadelphia 76ers,116,,,,,,,,
Dallas Mavericks,108,Portland Trail Blazers,117,,,,,,,,
Los Angeles Clippers,113,Utah Jazz,125,,,,,,,,
Orlando Magic,103,Boston Celtics,95,,,,,,,,
Brooklyn Nets,101,Detroit Pistons,100,,,,,,,,
New York Knicks,107,Los Angeles Lakers,127,,,,,,,,
Indiana Pacers,94,San Antonio Spurs,86,,,,,,,,
Utah Jazz,90,Atlanta Hawks,104,,,,,,,,
Sacramento Kings,107,Charlotte Hornets,112,,,,,,,,
Washington Wizards,75,Dallas Mavericks,98,,,,,,,,
Portland Trail Blazers,101,Denver Nuggets,104,,,,,,,,
Miami Heat,90,Houston Rockets,99,,,,,,,,
Minnesota Timberwolves,126,Los Angeles Clippers,118,,,,,,,,
Philadelphia 76ers,101,Memphis Grizzlies,105,,,,,,,,
Phoenix Suns,105,Milwaukee Bucks,109,,,,,,,,
Chicago Bulls,128,New Orleans Pelicans,132,,,,,,,,
New York Knicks,112,Golden State Warriors,123,,,,,,,,
Boston Celtics,107,Los Angeles Lakers,108,,,,,,,,
Brooklyn Nets,108,Oklahoma City Thunder,109,,,,,,,,
Sacramento Kings,105,Orlando Magic,99,,,,,,,,
Cleveland Cavaliers,102,San Antonio Spurs,114,,,,,,,,
Toronto Raptors,108,Atlanta Hawks,93,,,,,,,,
New Orleans Pelicans,101,Charlotte Hornets,96,,,,,,,,
Houston Rockets,104,Dallas Mavericks,97,,,,,,,,
Utah Jazz,98,Detroit Pistons,95,,,,,,,,
Phoenix Suns,101,Indiana Pacers,116,,,,,,,,
Boston Celtics,113,Los Angeles Clippers,102,,,,,,,,
San Antonio Spurs,108,Memphis Grizzlies,85,,,,,,,,
Chicago Bulls,101,Philadelphia 76ers,115,,,,,,,,
Minnesota Timberwolves,114,Portland Trail Blazers,123,,,,,,,,
New York Knicks,118,Denver Nuggets,130,,,,,,,,
Minnesota Timberwolves,113,Golden State Warriors,126,,,,,,,,
Sacramento Kings,89,Miami Heat,88,,,,,,,,
Washington Wizards,112,Oklahoma City Thunder,121,,,,,,,,
Los Angeles Lakers,108,Chicago Bulls,103,,,,,,,,
Atlanta Hawks,110,Charlotte Hornets,121,,,,,,,,
Indiana Pacers,108,Cleveland Cavaliers,115,,,,,,,,
Portland Trail Blazers,107,Dallas Mavericks,93,,,,,,,,
Los Angeles Clippers,109,Memphis Grizzlies,100,,,,,,,,
Brooklyn Nets,91,Milwaukee Bucks,116,,,,,,,,
Houston Rockets,113,New Orleans Pelicans,115,,,,,,,,
New York Knicks,107,Phoenix Suns,85,,,,,,,,
Philadelphia 76ers,97,San Antonio Spurs,78,,,,,,,,
Utah Jazz,97,Toronto Raptors,93,,,,,,,,
Washington Wizards,129,Atlanta Hawks,104,,,,,,,,
Dallas Mavericks,89,Denver Nuggets,91,,,,,,,,
Oklahoma City Thunder,121,Detroit Pistons,108,,,,,,,,
Boston Celtics,105,Golden State Warriors,109,,,,,,,,
Orlando Magic,112,Indiana Pacers,114,,,,,,,,
Charlotte Hornets,91,Miami Heat,95,,,,,,,,
Brooklyn Nets,97,Minnesota Timberwolves,111,,,,,,,,
Milwaukee Bucks,110,Chicago Bulls,96,,,,,,,,
Detroit Pistons,104,Cleveland Cavaliers,121,,,,,,,,
Phoenix Suns,102,Houston Rockets,113,,,,,,,,
Los Angeles Clippers,112,New Orleans Pelicans,103,,,,,,,,
Philadelphia 76ers,112,Oklahoma City Thunder,122,,,,,,,,
Sacramento Kings,98,San Antonio Spurs,113,,,,,,,,
Los Angeles Lakers,111,Toronto Raptors,123,,,,,,,,
Minnesota Timberwolves,100,Atlanta Hawks,105,,,,,,,,
Miami Heat,95,Dallas Mavericks,88,,,,,,,,
Boston Celtics,111,Denver Nuggets,110,,,,,,,,
Charlotte Hornets,96,Indiana Pacers,105,,,,,,,,
Phoenix Suns,109,Memphis Grizzlies,120,,,,,,,,
Philadelphia 76ers,95,Milwaukee Bucks,107,,,,,,,,
Cleveland Cavaliers,114,Detroit Pistons,125,,,,,,,,
Orlando Magic,107,Houston Rockets,114,,,,,,,,
Portland Trail Blazers,104,Los Angeles Clippers,96,,,,,,,,
Sacramento Kings,114,New Orleans Pelicans,103,,,,,,,,
Brooklyn Nets,95,New York Knicks,111,,,,,,,,
Denver Nuggets,104,San Antonio Spurs,106,,,,,,,,
Minnesota Timberwolves,104,Toronto Raptors,109,,,,,,,,
Golden State Warriors,99,Utah Jazz,129,,,,,,,,
Oklahoma City Thunder,96,Washington Wizards,102,,,,,,,,
Charlotte Hornets,123,Atlanta Hawks,110,,,,,,,,
New York Knicks,73,Boston Celtics,103,,,,,,,,
Philadelphia 76ers,108,Brooklyn Nets,116,,,,,,,,
Miami Heat,89,Cleveland Cavaliers,91,,,,,,,,
Memphis Grizzlies,101,Indiana Pacers,105,,,,,,,,
Los Angeles Lakers,105,Orlando Magic,127,,,,,,,,
Dallas Mavericks,88,Phoenix Suns,102,,,,,,,,
Chicago Bulls,108,Portland Trail Blazers,124,,,,,,,,
Oklahoma City Thunder,124,Denver Nuggets,127,,,,,,,,
Memphis Grizzlies,102,Detroit Pistons,104,,,,,,,,
Milwaukee Bucks,89,Minnesota Timberwolves,108,,,,,,,,
Houston Rockets,102,San Antonio Spurs,91,,,,,,,,
Toronto Raptors,119,Washington Wizards,122,,,,,,,,
Atlanta Hawks,110,Boston Celtics,119,,,,,,,,
Los Angeles Lakers,102,Brooklyn Nets,99,,,,,,,,
Indiana Pacers,126,Charlotte Hornets,133,,,,,,,,
New York Knicks,90,Milwaukee Bucks,92,,,,,,,,
New Orleans Pelicans,114,Oklahoma City Thunder,100,,,,,,,,
Miami Heat,97,Philadelphia 76ers,103,,,,,,,,
Utah Jazz,129,Phoenix Suns,97,,,,,,,,
Golden State Warriors,119,Sacramento Kings,104,,,,,,,,
Portland Trail Blazers,105,Toronto Raptors,130,,,,,,,,
Houston Rockets,120,Cleveland Cavaliers,88,,,,,,,,
Golden State Warriors,108,Denver Nuggets,115,,,,,,,,
Miami Heat,107,Detroit Pistons,111,,,,,,,,
Philadelphia 76ers,92,Indiana Pacers,100,,,,,,,,
Chicago Bulls,103,Los Angeles Clippers,113,,,,,,,,
New Orleans Pelicans,107,Minnesota Timberwolves,118,,,,,,,,
Washington Wizards,115,Orlando Magic,98,,,,,,,,
Dallas Mavericks,106,Sacramento Kings,99,,,,,,,,
Utah Jazz,120,San Antonio Spurs,111,,,,,,,,
Portland Trail Blazers,96,Boston Celtics,97,,,,,,,,
Milwaukee Bucks,109,Brooklyn Nets,94,,,,,,,,
Atlanta Hawks,99,New York Knicks,96,,,,,,,,
Los Angeles Lakers,108,Oklahoma City Thunder,104,,,,,,,,
Charlotte Hornets,115,Phoenix Suns,110,,,,,,,,
Memphis Grizzlies,86,Toronto Raptors,101,,,,,,,,
Charlotte Hornets,104,Denver Nuggets,121,,,,,,,,
Portland Trail Blazers,91,Detroit Pistons,111,,,,,,,,
Washington Wizards,111,Indiana Pacers,102,,,,,,,,
Dallas Mavericks,101,Los Angeles Clippers,104,,,,,,,,
Orlando Magic,111,Miami Heat,109,,,,,,,,
Utah Jazz,133,New Orleans Pelicans,109,,,,,,,,
Chicago Bulls,98,Sacramento Kings,104,,,,,,,,
Memphis Grizzlies,82,Atlanta Hawks,108,,,,,,,,
Houston Rockets,123,Brooklyn Nets,113,,,,,,,,
Oklahoma City Thunder,125,Golden State Warriors,105,,,,,,,,
Phoenix Suns,93,Los Angeles Lakers,112,,,,,,,,
Milwaukee Bucks,103,New York Knicks,89,,,,,,,,
Cleveland Cavaliers,98,Orlando Magic,116,,,,,,,,
Washington Wizards,102,Philadelphia 76ers,115,,,,,,,,
Boston Celtics,91,Toronto Raptors,111,,,,,,,,
Minnesota Timberwolves,138,Cleveland Cavaliers,140,,,,,,,,
Brooklyn Nets,106,Detroit Pistons,115,,,,,,,,
Utah Jazz,92,Memphis Grizzlies,88,,,,,,,,
Houston Rockets,109,Miami Heat,101,,,,,,,,
San Antonio Spurs,129,Phoenix Suns,81,,,,,,,,
Dallas Mavericks,103,Golden State Warriors,121,,,,,,,,
Oklahoma City Thunder,81,Los Angeles Lakers,106,,,,,,,,
Atlanta Hawks,98,Orlando Magic,100,,,,,,,,
Charlotte Hornets,103,Portland Trail Blazers,109,,,,,,,,
New York Knicks,88,Toronto Raptors,113,,,,,,,,
Boston Celtics,110,Washington Wizards,104,,,,,,,,
Cleveland Cavaliers,123,Atlanta Hawks,107,,,,,,,,
Indiana Pacers,97,Boston Celtics,91,,,,,,,,
Minnesota Timberwolves,113,Chicago Bulls,114,,,,,,,,
Los Angeles Clippers,108,Detroit Pistons,95,,,,,,,,
